user_id,age,gender,region,subscription_type,payment_method,primary_device,account_age_months,favorite_genre,time_of_day,recommendation_source,session_count,avg_watch_time_minutes_per_week,watch_sessions_per_week,completion_rate,avg_rating_given,app_rating,recommendation_click_rate,days_since_last_login,churned
N00001,33,Male,Europe,Basic,Credit Card,Smart TV,38,Comedy,Afternoon,Trending,1,259,4,79,4,4,48,3,0
N00002,41,Male,Africa,Premium,Credit Card,Tablet,49,Comedy,Evening,Search,1,164,4,69,4,4,32,30,0
N00003,28,Female,Europe,Standard,Gift Card,Laptop,20,Drama,Evening,Ads,1,304,5,75,4,3,31,5,1
N00004,40,Female,North America,Basic,Credit Card,Mobile,19,Action,Evening,Algorithm,1,145,6,79,4,4,39,38,0
N00005,54,Male,Europe,Standard,Paypal,Mobile,51,Romance,Evening,Friend,3,108,1,58,5,4,50,5,0
N00006,37,Male,Asia,Premium,Paypal,Laptop,48,Comedy,Afternoon,Algorithm,1,220,4,83,4,4,52,1,0
N00007,36,Female,South America,Basic,Debit Card,Mobile,80,Action,Night,Algorithm,1,468,17,68,3,4,43,3,0
N00008,19,Male,North America,Basic,Paypal,Smart TV,53,Action,Evening,Friend,1,181,2,69,5,5,41,3,0
N00009,60,Male,Asia,Basic,Credit Card,Smart TV,50,Horror,Night,Algorithm,1,179,4,82,4,4,48,37,0
N00010,31,Male,Europe,Basic,Paypal,Smart TV,14,Comedy,Night,Friend,1,418,7,81,4,4,58,2,0
N00011,36,Male,Africa,Premium,Gift Card,Smart TV,50,Documentary,Evening,Ads,1,191,4,50,4,4,22,34,0
N00012,32,Male,North America,Premium,Paypal,Smart TV,56,Horror,Evening,Algorithm,1,165,2,77,3,3,28,5,0
N00013,45,Male,South America,Basic,Credit Card,Mobile,70,Comedy,Afternoon,Trending,1,340,10,63,4,4,32,2,0
N00014,60,Female,Europe,Basic,Credit Card,Mobile,45,Documentary,Afternoon,Algorithm,1,256,8,80,5,4,52,4,0
N00015,38,Male,South America,Basic,Paypal,Mobile,81,Comedy,Evening,Ads,1,102,4,53,3,3,2,59,1
N00016,31,Female,North America,Basic,Credit Card,Mobile,43,Sci-Fi,Afternoon,Algorithm,1,546,11,72,3,3,40,6,0
N00017,52,Male,Asia,Premium,Paypal,Mobile,63,Horror,Night,Trending,1,114,2,61,4,4,44,33,0
N00018,46,Female,Europe,Basic,Debit Card,Mobile,16,Romance,Evening,Ads,1,361,8,48,3,3,0,25,1
N00019,36,Female,Asia,Basic,Paypal,Laptop,33,Documentary,Evening,Ads,1,226,5,72,3,4,6,44,1
N00020,28,Male,Asia,Basic,Debit Card,Mobile,77,Action,Evening,Trending,1,221,6,71,3,4,20,36,1
N00021,39,Female,North America,Standard,Paypal,Mobile,12,Horror,Night,Algorithm,1,193,5,73,4,4,52,0,0
N00022,30,Male,Oceania,Standard,Paypal,Smart TV,17,Romance,Night,Trending,2,229,3,85,3,3,39,5,0
N00023,37,Female,Asia,Standard,Debit Card,Mobile,31,Comedy,Afternoon,Algorithm,1,125,6,71,3,4,49,0,1
